"song","release","format","year","lyric"
"Levitate","Levitate","LP","1997","I was thinking about my debts while he talked about his house in the Lake District."
"D.I.Y. Meat","The Light User Syndrome","LP","1996","I saw you chatting to my wife 
Between the light and door."
"Fortress","Hex Enduction Hour","LP","1981","With four left wing kids I spent time in Nazi fortress."
"Before the Moon Falls","Dragnet","LP","1979","Up here in the North there are no wage packet jobs for us thank Christ"
"Gramme Friday","Grotesque (after the Gramme)","LP","1980","The people I like live in kitchens and halls"
"Middle Mass","Slates","EP","1981","Not much contact
Drinking, the men wait they are set at nought"
"Joker Hysterical Face","Room to Live","LP","1982","In fact, if you get up pretty close enough she had a joker hysterical face"
"Hexen Definitive/Strife Knot","Perverted by Language","LP","1983","Red church on a hill styrofoam insides aluminium tiers"
"Slang King","The Wonderful and Frightening World of…","LP","1984","3 little girls with only 50 pence had to take, had to put the Curly Wurly back"
"Paintwork","This Nation’s Saving Grace","LP","1985","It was under his vest made out of tracing paper chest scars portrayed Aztec life in his horrible…"
